scenario_id,project_id,company,state,allocation_share,credit_allocation_crore,allocation_rank
1,SEM-0002,Tata Electronics Private Limited,Gujarat,0.02132029367344766,106.6014683672383,12
1,SEM-0011,Crystal Matrix Limited,Gujarat,0.05398970318059429,269.94851590297145,10
1,SEM-0012,Suchi Semicon Private Limited,Gujarat,0.05130504317486633,256.52521587433165,11
1,SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.06516968366040754,325.8484183020377,8
1,SEM-0005,Kaynes Technology India Limited,Gujarat,0.06515149394763257,325.75746973816285,9
1,SEM-0003,Tata Electronics Private Limited,Assam,0.10176900310613907,508.8450155306953,6
1,SEM-0001,Micron Technology Inc.,Gujarat,0.09306378236305157,465.3189118152579,7
1,SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,0.11294042071895997,564.7021035947998,1
1,SEM-0008,SiCSem Private Limited,Odisha,0.11180239964252474,559.0119982126237,2
1,SEM-0007,3D Glass Solutions Inc.,Odisha,0.11165615781119408,558.2807890559703,3
1,SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,0.10845138383153062,542.2569191576531,4
1,SEM-0009,Continental Device India Private Limited,Punjab,0.1033806348896516,516.903174448258,5
2,SEM-0002,Tata Electronics Private Limited,Gujarat,0.03147420619680592,157.37103098402963,12
2,SEM-0011,Crystal Matrix Limited,Gujarat,0.052915442133356666,264.57721066678334,10
2,SEM-0012,Suchi Semicon Private Limited,Gujarat,0.048116650437248595,240.583252186243,11
2,SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.06432644802707306,321.6322401353653,8
2,SEM-0005,Kaynes Technology India Limited,Gujarat,0.0626752161933212,313.37608096660597,9
2,SEM-0003,Tata Electronics Private Limited,Assam,0.10940433902986811,547.0216951493405,4
2,SEM-0001,Micron Technology Inc.,Gujarat,0.09049203701219466,452.4601850609733,7
2,SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,0.11469398624501669,573.4699312250834,1
2,SEM-0008,SiCSem Private Limited,Odisha,0.1121111964197604,560.555982098802,2
2,SEM-0007,3D Glass Solutions Inc.,Odisha,0.11181491402169762,559.074570108488,3
2,SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,0.1051865596209015,525.9327981045075,5
2,SEM-0009,Continental Device India Private Limited,Punjab,0.09678900466275582,483.9450233137791,6
3,SEM-0002,Tata Electronics Private Limited,Gujarat,0.04611631219999565,230.58156099997825,11
3,SEM-0011,Crystal Matrix Limited,Gujarat,0.05136634033712128,256.8317016856064,10
3,SEM-0012,Suchi Semicon Private Limited,Gujarat,0.04351893656719061,217.59468283595305,12
3,SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.0631104886123599,315.5524430617995,8
3,SEM-0005,Kaynes Technology India Limited,Gujarat,0.0591043836409863,295.5219182049315,9
3,SEM-0003,Tata Electronics Private Limited,Assam,0.12309631659344128,615.4815829672064,1
3,SEM-0001,Micron Technology Inc.,Gujarat,0.08678353864234616,433.9176932117308,6
3,SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,0.11783854728055748,589.1927364027874,2
3,SEM-0008,SiCSem Private Limited,Odisha,0.11266494265802002,563.3247132901001,3
3,SEM-0007,3D Glass Solutions Inc.,Odisha,0.11209960175436662,560.498008771833,4
3,SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,0.09933195148217892,496.6597574108946,5
3,SEM-0009,Continental Device India Private Limited,Punjab,0.08496864023143558,424.8432011571779,7
4,SEM-0002,Tata Electronics Private Limited,Gujarat,0.02132029367344766,106.6014683672383,12
4,SEM-0011,Crystal Matrix Limited,Gujarat,0.05398970318059429,269.94851590297145,10
4,SEM-0012,Suchi Semicon Private Limited,Gujarat,0.05130504317486633,256.52521587433165,11
4,SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.06516968366040754,325.8484183020377,8
4,SEM-0005,Kaynes Technology India Limited,Gujarat,0.06515149394763257,325.75746973816285,9
4,SEM-0003,Tata Electronics Private Limited,Assam,0.10176900310613907,508.8450155306953,6
4,SEM-0001,Micron Technology Inc.,Gujarat,0.09306378236305157,465.3189118152579,7
4,SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,0.11294042071895997,564.7021035947998,1
4,SEM-0008,SiCSem Private Limited,Odisha,0.11180239964252474,559.0119982126237,2
4,SEM-0007,3D Glass Solutions Inc.,Odisha,0.11165615781119408,558.2807890559703,3
4,SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,0.10845138383153062,542.2569191576531,4
4,SEM-0009,Continental Device India Private Limited,Punjab,0.1033806348896516,516.903174448258,5
5,SEM-0002,Tata Electronics Private Limited,Gujarat,0.03147420619680592,157.37103098402963,12
5,SEM-0011,Crystal Matrix Limited,Gujarat,0.052915442133356666,264.57721066678334,10
5,SEM-0012,Suchi Semicon Private Limited,Gujarat,0.048116650437248595,240.583252186243,11
5,SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.06432644802707306,321.6322401353653,8
5,SEM-0005,Kaynes Technology India Limited,Gujarat,0.0626752161933212,313.37608096660597,9
